segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.5,-246.4,18.6,3.6945906
25,0,-6.5,-245.09999,18.099998,0.8717798
26,25,-6.025,-244.37498,16.8,0.43011624
27,26,-3.05,-241.15,14.55,0.4358899
28,27,-2.45,-239.94998,13.75,0.4358899
29,28,-1.4499999,-214.94998,-5.25,0.4358899
30,29,-1.4499999,-210.2,-8.4,0.5
31,30,-1.4499999,-167.6,-37.6,0.5
32,31,-1.4499999,-162.85,-40.05,0.4358899
33,32,-1.4499999,-135.45001,-53.95,0.4358899
34,33,-1.4499999,-118.49999,-60.2,0.5
35,34,-1.4499999,-102.35,-64.0,0.50990194
36,35,-1.4499999,-84.15,-66.649994,0.4358899
37,36,-1.4499999,-53.3,-67.049995,0.42426404
38,37,-1.4499999,-47.15,-65.85,0.4358899
39,38,-1.4499999,-3.4499998,-53.250004,0.4358899
40,39,-1.4499999,3.7500002,-50.050003,0.4358899
41,40,-1.4499999,32.2,-35.350002,0.42426404
42,41,-4.35,36.1,-30.55,0.46904156
43,42,-10.625,42.05,-24.449999,0.55
44,43,-13.349999,47.600002,-19.875,0.4387482
45,44,-13.45,56.199997,-14.45,0.42426404
46,45,-10.375,61.85,-12.65,0.45
47,46,-5.85,65.525,-10.75,0.45
48,47,-2.2,69.5,-11.85,0.41231057
49,48,-1.85,77.8,-6.3500004,0.42426404
50,49,-1.4499999,84.75,-2.0,0.50990194
51,50,-1.4499999,89.3,-0.5,0.5
52,51,-1.4499999,116.2,4.4500003,0.42426404
53,52,-1.4499999,125.100006,4.4500003,0.42426404
54,53,-1.4499999,167.6,2.25,0.42426404
55,54,-1.4499999,174.65,1.05,0.4358899
56,55,-1.4499999,249.09999,-20.25,0.42426404
57,56,-1.4499999,256.3,-21.5,0.5
58,57,-1.4499999,283.3,-25.0,0.5
59,58,-1.4499999,289.19998,-25.5,0.5
60,59,-1.4499999,317.6,-26.499998,0.5
61,60,-1.4499999,322.8,-26.050001,0.42426404
62,61,-1.4499999,350.75,-23.0,0.50990194
63,62,-1.4499999,355.35,-21.449999,0.4358899
64,63,-1.4499999,386.1,-8.2,0.5
65,64,-1.4499999,396.95,-2.6000001,0.50990194
1,0,-6.5,-247.7,19.1,0.8717798
2,1,-6.5,-249.05,19.050001,0.6480741
3,2,-6.5,-253.55,19.55,0.50990194
4,3,-6.5,-266.5,25.25,0.53851646
5,4,-4.9,-271.75,33.75,0.50990194
6,5,-4.5,-272.55002,36.55,0.50990194
7,6,-4.9249997,-273.15,38.05,0.55
8,7,-7.2999997,-273.42502,39.825,0.43011624
9,8,-8.875,-273.775,42.449997,0.44158804
10,9,-9.375,-274.2,45.5,0.42720017
11,10,-8.825,-274.65,48.525,0.46368092
12,11,-7.2999997,-275.0,51.1,0.48989794
13,12,-5.0,-275.3,52.824997,0.5123476
14,13,-2.3,-275.35,53.399998,0.5
15,14,0.45,-275.3,52.824997,0.33541018
16,15,2.7,-275.0,51.1,0.34641016
17,16,4.25,-274.65,48.525,0.42720017
18,17,4.8250003,-274.2,45.5,0.32015622
19,18,4.3,-273.775,42.449997,0.33541018
20,19,2.725,-273.42502,39.825,0.4330127
21,20,0.9,-272.925,37.2,0.32015622
22,21,-0.25,-271.7,33.7,0.41231057
23,22,-0.375,-257.9,25.625,0.35355338
24,23,-0.425,-257.45,25.325,0.39370042
