segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.0,-265.35,45.425,2.8178005
1,0,-8.0,-266.05002,45.4,0.53851646
2,1,-8.0,-266.55,44.95,0.50990194
3,2,-10.0,-273.0,45.899998,0.56568545
4,3,-10.599999,-278.80002,47.5,0.56568545
5,4,-11.7,-289.9,51.300003,0.56568545
6,5,-12.2,-293.19998,52.100002,0.56568545
7,6,-12.2,-296.6,52.8,0.56568545
8,7,-11.8,-299.8,53.3,0.56568545
9,8,-10.400001,-304.6,54.100002,0.56568545
10,9,-9.3,-320.15,56.0,0.5744563
11,10,-7.2999997,-331.95,57.200005,0.5744563
12,11,-6.5,-337.15,57.8,0.5744563
13,12,-5.6000004,-342.8,58.600002,0.56568545
14,13,-5.0,-348.6,58.899998,0.56568545
15,14,-5.0,-349.44998,58.999996,0.5744563
16,0,-8.0,-264.65002,45.45,0.5830952
17,16,-7.95,-264.45,44.850002,0.4358899
18,17,-8.0,-264.55,40.9,0.5
19,18,-8.0,-265.4,30.75,0.5744563
20,19,-7.825,-265.59998,29.800001,0.5123476
21,20,-3.25,-267.6,26.499998,0.5744563
22,21,-2.5,-268.95,27.5,0.53851646
23,22,-2.5,-271.25,30.5,0.53851646
24,23,-2.55,-272.84998,36.0,0.42426404
25,24,-3.125,-273.05,37.5,0.39051247
26,25,-4.9,-273.15,38.125,0.39051247
27,26,-7.175,-273.42502,39.825,0.295804
28,27,-8.725,-273.775,42.449997,0.44158804
29,28,-9.25,-274.2,45.5,0.5
