segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.1,-249.25,24.349998,2.8722813
4,0,-8.1,-250.25,24.55,0.50990194
5,4,-8.1,-253.09999,25.350002,0.36055514
6,5,-8.1,-257.94998,26.750002,0.37416574
7,6,-8.1,-258.85,27.7,0.41231057
8,7,-8.1,-259.5,32.95,0.3
9,8,-8.1,-260.3,33.7,0.28284273
10,9,-8.1,-269.15,36.1,0.3
11,10,-8.1,-333.75,53.600002,0.3
12,11,-8.1,-334.6,53.8,0.28284273
1,0,-8.1,-248.25,24.15,0.50990194
2,1,-8.1,-245.65001,23.45,0.50990194
3,2,-8.1,-245.45,23.4,0.5744563
