segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.4499998,404.15002,5.5,2.4041631
1,0,-3.4,404.15002,5.5,0.36055514
2,1,-3.9,403.9,4.65,0.3
3,2,-5.5,402.05002,1.6,0.3
4,3,-6.9750004,399.4,-0.45,0.33541018
5,4,-7.2999997,396.075,-2.025,0.21213202
6,5,-6.8999996,392.75,-3.5750003,0.3640055
7,6,-5.6000004,389.925,-4.95,0.26925823
8,7,-3.5,387.5,-5.825,0.32015622
9,8,-2.35,384.1,-7.4500003,0.42426404
10,9,-1.4499999,378.09998,-11.45,0.46904156
11,10,-1.4499999,367.35,-16.45,0.4358899
12,11,-1.4499999,355.35,-21.449999,0.4358899
13,12,-1.4499999,350.75,-23.0,0.50990194
14,13,-1.4499999,322.8,-26.050001,0.42426404
15,14,-1.4499999,317.6,-26.499998,0.5
16,15,-1.4499999,289.19998,-25.5,0.5
17,16,-1.4499999,283.3,-25.0,0.5
18,17,-1.4499999,256.3,-21.5,0.5
19,18,-1.4499999,249.09999,-20.25,0.42426404
20,19,-1.4499999,174.65,1.05,0.4358899
21,20,-1.4499999,167.6,2.25,0.42426404
22,21,-1.4499999,125.100006,4.4500003,0.42426404
23,22,-1.4499999,116.2,4.4500003,0.42426404
24,23,-1.4499999,89.3,-0.5,0.5
25,24,-1.4499999,84.75,-2.0,0.50990194
26,25,-1.85,77.8,-6.3500004,0.42426404
27,26,-2.2,69.5,-11.85,0.5
28,27,-5.85,65.525,-10.75,0.42720017
29,28,-10.375,61.85,-12.65,0.47169906
30,29,-13.45,56.199997,-14.45,0.42426404
31,30,-13.349999,47.600002,-19.875,0.4387482
32,31,-10.625,42.05,-24.449999,0.55
33,32,-4.35,36.1,-30.55,0.46904156
34,33,-1.4499999,32.2,-35.350002,0.42426404
35,34,-1.4499999,3.7500002,-50.050003,0.4358899
36,35,-1.4499999,-3.4499998,-53.250004,0.4358899
37,36,-1.4499999,-47.15,-65.85,0.4358899
38,37,-1.4499999,-53.3,-67.049995,0.42426404
39,38,-1.4499999,-84.15,-66.649994,0.4358899
40,39,-1.4499999,-102.35,-64.0,0.50990194
41,40,-1.4499999,-118.49999,-60.2,0.5
42,41,-1.4499999,-135.45001,-53.95,0.4358899
43,42,-1.4499999,-162.85,-40.05,0.4358899
44,43,-1.4499999,-167.6,-37.6,0.5
45,44,-1.4499999,-210.2,-8.4,0.5
46,45,-1.4499999,-214.94998,-5.25,0.4358899
47,46,-1.4499999,-243.35,14.55,0.4358899
48,47,-1.4499999,-257.65,23.3,0.50990194
49,48,-1.4499999,-266.7,29.249998,0.46904156
50,49,-2.35,-270.0,32.4,0.41231057
51,50,-3.9500003,-272.1,35.4,0.41231057
52,51,-4.975,-273.15,38.05,0.42720017
53,52,-7.3250003,-273.42502,39.825,0.4555217
54,53,-8.900001,-273.775,42.449997,0.41533118
55,54,-9.4,-274.2,45.5,0.4472136
56,55,-8.85,-274.65,48.525,0.4924429
57,56,-7.2999997,-275.0,51.1,0.48989794
58,57,-5.05,-275.3,52.824997,0.48218253
59,58,-2.3,-275.35,53.399998,0.5
