segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.8,-265.625,41.0,2.8142495
1,0,-9.8,-264.9,40.3,0.48989794
2,1,-9.8,-264.75,40.0,0.36055514
3,2,-9.35,-264.55,35.9,0.42426404
4,3,-8.0,-265.4,30.75,0.5744563
5,4,-7.825,-265.59998,29.800001,0.5123476
6,5,-3.25,-267.6,26.499998,0.5744563
7,6,-2.5,-268.95,27.5,0.53851646
8,7,-2.5,-271.25,30.5,0.53851646
9,8,-2.55,-272.825,35.95,0.55
10,9,-3.125,-273.05,37.5,0.39051247
11,10,-4.9,-273.15,38.125,0.39051247
12,11,-7.175,-273.42502,39.825,0.295804
13,12,-8.725,-273.775,42.449997,0.44158804
14,13,-9.25,-274.2,45.5,0.5
15,14,-8.7,-274.65,48.525,0.4387482
16,15,-7.2,-275.0,51.1,0.48989794
17,16,-4.8500004,-275.3,52.824997,0.48218253
18,17,-2.2,-275.35,53.399998,0.5
19,0,-9.8,-266.35,41.7,0.53851646
20,19,-9.8,-266.65002,41.95,0.50990194
21,20,-9.9,-268.6,43.0,0.56568545
22,21,-9.9,-274.0,45.4,0.56568545
23,22,-9.9,-278.6,47.4,0.56568545
24,23,-11.7,-289.8,51.1,0.56568545
25,24,-12.2,-293.19998,52.100002,0.56568545
26,25,-12.2,-296.6,52.8,0.56568545
27,26,-11.8,-299.8,53.3,0.56568545
28,27,-10.400001,-304.6,54.100002,0.56568545
29,28,-9.3,-320.15,56.0,0.5744563
30,29,-7.2999997,-331.95,57.200005,0.5744563
31,30,-6.5,-337.15,57.8,0.5744563
32,31,-5.6000004,-342.8,58.600002,0.56568545
33,32,-5.0,-348.6,58.899998,0.56568545
34,33,-5.0,-349.44998,58.999996,0.5744563
